 time            v(nodeA)        time            v(nodeB)       
 3.40280000e-04  4.21691972e+00  3.40280000e-04  2.10845986e+00 
 3.41280000e-04  4.19995646e+00  3.41280000e-04  2.09997823e+00 
 3.42280000e-04  4.18282739e+00  3.42280000e-04  2.09141369e+00 
 3.43280000e-04  4.16553319e+00  3.43280000e-04  2.08276659e+00 
 3.44280000e-04  4.14807454e+00  3.44280000e-04  2.07403727e+00 
 3.45280000e-04  4.13045213e+00  3.45280000e-04  2.06522607e+00 
 3.46280000e-04  4.11266666e+00  3.46280000e-04  2.05633333e+00 
 3.47280000e-04  4.09471883e+00  3.47280000e-04  2.04735941e+00 
 3.48280000e-04  4.07660934e+00  3.48280000e-04  2.03830467e+00 
 3.49280000e-04  4.05833892e+00  3.49280000e-04  2.02916946e+00 
 3.50280000e-04  4.03990829e+00  3.50280000e-04  2.01995414e+00 
 3.51280000e-04  4.02131816e+00  3.51280000e-04  2.01065908e+00 
 3.52280000e-04  4.00256928e+00  3.52280000e-04  2.00128464e+00 
 3.53280000e-04  3.98366238e+00  3.53280000e-04  1.99183119e+00 
 3.54280000e-04  3.96459822e+00  3.54280000e-04  1.98229911e+00 
 3.55280000e-04  3.94537754e+00  3.55280000e-04  1.97268877e+00 
 3.56280000e-04  3.92600110e+00  3.56280000e-04  1.96300055e+00 
 3.57280000e-04  3.90646967e+00  3.57280000e-04  1.95323484e+00 
